song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,203,101.5,0.07916126,-0.000369364,0.082637584,-0.002293542,0.000346314
stimuli/10_pieceA_anxious_joy_calm,204,102,0.079096777,-0.00116894,0.082677479,-0.00263755,0.000468789
stimuli/10_pieceA_anxious_joy_calm,205,102.5,0.079455845,-0.003189229,0.082719528,-0.003104449,0.000599343
stimuli/10_pieceA_anxious_joy_calm,206,103,0.079835403,-0.00321707,0.082822,-0.003694967,0.000723901
stimuli/10_pieceA_anxious_joy_calm,207,103.5,0.095433336,-0.004757133,0.082967086,-0.00440418,0.000816531
stimuli/10_pieceA_anxious_joy_calm,208,104,0.094861839,-0.00624961,0.083098034,-0.005210142,0.000880663
stimuli/10_pieceA_anxious_joy_calm,209,104.5,0.080149895,-0.008915417,0.083193604,-0.006085604,0.000850417
stimuli/10_pieceA_anxious_joy_calm,210,105,0.080214876,-0.009686371,0.083220771,-0.006935587,0.000691886
stimuli/10_pieceA_anxious_joy_calm,211,105.5,0.08075916,-0.010754592,0.083395855,-0.007604954,0.000580388
stimuli/10_pieceA_anxious_joy_calm,212,106,0.082089947,-0.010981302,0.083533749,-0.008168723,0.00045061
stimuli/10_pieceA_anxious_joy_calm,213,106.5,0.082210831,-0.009968999,0.083736979,-0.008570901,0.000387987
stimuli/10_pieceA_anxious_joy_calm,214,107,0.082391802,-0.009201862,0.083903514,-0.008220473,0.000485777
stimuli/10_pieceA_anxious_joy_calm,215,107.5,0.083117776,-0.009361932,0.084354419,-0.008039742,0.000409562
stimuli/10_pieceA_anxious_joy_calm,216,108,0.083099845,-0.009260048,0.084731988,-0.008198433,0.000538891
stimuli/10_pieceA_anxious_joy_calm,217,108.5,0.085092369,-0.008823389,0.08520003,-0.008465529,0.000692173
stimuli/10_pieceA_anxious_joy_calm,218,109,0.084858183,-0.009972192,0.085767181,-0.00886232,0.000864707
stimuli/10_pieceA_anxious_joy_calm,219,109.5,0.086149968,-0.012156424,0.08644087,-0.009404409,0.001050114
stimuli/10_pieceA_anxious_joy_calm,220,110,0.086832392,-0.012226455,0.087227122,-0.010100503,0.001240786
stimuli/10_pieceA_anxious_joy_calm,221,110.5,0.087799357,-0.011176701,0.088130367,-0.010951207,0.001428113
stimuli/10_pieceA_anxious_joy_calm,222,111,0.08967698,-0.012276134,0.089153246,-0.011947814,0.00160269
stimuli/10_pieceA_anxious_joy_calm,223,111.5,0.090842847,-0.013505066,0.090296426,-0.013071092,0.001754567
stimuli/10_pieceA_anxious_joy_calm,224,112,0.093239423,-0.014969759,0.091558399,-0.014290079,0.0018737
stimuli/10_pieceA_anxious_joy_calm,225,112.5,0.093195014,-0.017082103,0.092935295,-0.01556087,0.001950759
stimuli/10_pieceA_anxious_joy_calm,226,113,0.095443984,-0.017568095,0.09442069,-0.01682541,0.001978705
stimuli/10_pieceA_anxious_joy_calm,227,113.5,0.098278112,-0.016677313,0.096005412,-0.018010285,0.001956029
stimuli/10_pieceA_anxious_joy_calm,228,114,0.098043776,-0.015385472,0.097677349,-0.019025507,0.001893565
stimuli/10_pieceA_anxious_joy_calm,229,114.5,0.100034916,-0.014723299,0.099421261,-0.019763315,0.001828026
stimuli/10_pieceA_anxious_joy_calm,230,115,0.101249069,-0.013045755,0.101218582,-0.020096954,0.001841536
stimuli/10_pieceA_anxious_joy_calm,231,115.5,0.103676621,-0.01371776,0.103047231,-0.019879474,0.002059647
stimuli/10_pieceA_anxious_joy_calm,232,116,0.105244603,-0.014014369,0.104881422,-0.018942517,0.002586345
