"","pos2_anger_1","sad2_anger_1","sad8_anger_1","sad1_anger_1","happy7_anger_1","happy10_anger_1","happy1_anger_1","pos3_anger_1","pos2_disgust_1","sad2_disgust_1","sad8_disgust_1","sad1_disgust_1","happy7_disgust_1","happy10_disgust_1","happy1_disgust_1","pos3_disgust_1","pos2_sadness_1","sad2_sadness_1","sad8_sadness_1","sad1_sadness_1","happy7_sadness_1","happy10_sadness_1","happy1_sadness_1","pos3_sadness_1","pos2_scared_1","sad2_scared_1","sad8_scared_1","sad1_scared_1","happy7_scared_1","happy10_scared_1","happy1_scared_1","pos3_scared_1","pos2_upset_1","sad2_upset_1","sad8_upset_1","sad1_upset_1","happy7_upset_1","happy10_upset_1","happy1_upset_1","pos3_upset_1"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"20",0,20,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,60,0,5,0,0,0,0,20,0,0,0,0,5,0,0,0,40,0,20,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0
"22",0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0
"23",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"24",0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,19,9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"25",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,52,41,52,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0
"28",0,0,0,10,0,0,0,0,0,0,0,46,0,0,0,0,0,55,45,59,0,0,0,0,0,25,29,89,0,8,26,0,0,59,49,74,0,16,13,0
"29",8,5,0,0,7,0,7,7,0,7,0,0,6,0,5,6,33,52,0,42,4,21,6,5,0,5,0,0,5,0,7,3,3,8,0,0,5,0,5,5
"30",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,13,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,11,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,6,0,28,0,0,0,0,0,6,0,46,0,0,0,0,0,72,16,48,0,0,0,14,0,7,6,62,0,0,0,0,0,15,0,22,0,0,0,18
"33",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
