"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"1565","stimuli/5_pieceB_calm_sad_anxious",125,62.5,-0.032518343,-0.068326315,-0.031496285,-0.068774111,0.001132528,NA
"1566","stimuli/5_pieceB_calm_sad_anxious",126,63,-0.033417579,-0.068669064,-0.032627975,-0.068730546,0.001070727,NA
"1567","stimuli/5_pieceB_calm_sad_anxious",127,63.5,-0.033751651,-0.067095947,-0.033687429,-0.068575584,0.001070581,NA
"1568","stimuli/5_pieceB_calm_sad_anxious",128,64,-0.034315508,-0.067750605,-0.034731845,-0.068340342,0.001031792,NA
"1569","stimuli/5_pieceB_calm_sad_anxious",129,64.5,-0.035898804,-0.067042358,-0.035703863,-0.067994257,0.000941307,NA
"1570","stimuli/5_pieceB_calm_sad_anxious",130,65,-0.036037014,-0.065915291,-0.036555302,-0.067592872,0.000879096,NA
"1571","stimuli/5_pieceB_calm_sad_anxious",131,65.5,-0.035879273,-0.065065721,-0.037333879,-0.067184671,0.000836563,NA
"1572","stimuli/5_pieceB_calm_sad_anxious",132,66,-0.037942007,-0.066572151,-0.038043281,-0.066741291,0.000879006,NA
"1573","stimuli/5_pieceB_calm_sad_anxious",133,66.5,-0.039286582,-0.067337216,-0.038782508,-0.066265691,0.000863725,NA
"1574","stimuli/5_pieceB_calm_sad_anxious",134,67,-0.039851575,-0.066496439,-0.039485391,-0.065763719,0.000827596,NA
"1575","stimuli/5_pieceB_calm_sad_anxious",135,67.5,-0.039570461,-0.065537801,-0.040147004,-0.065266544,0.000724452,NA
"1576","stimuli/5_pieceB_calm_sad_anxious",136,68,-0.039720027,-0.065865355,-0.040720681,-0.064824135,0.00069404,NA
"1577","stimuli/5_pieceB_calm_sad_anxious",137,68.5,-0.040326428,-0.06627688,-0.041257299,-0.064383985,0.00059432,NA
"1578","stimuli/5_pieceB_calm_sad_anxious",138,69,-0.041385718,-0.067631695,-0.041679493,-0.063965692,0.0005652,NA
"1579","stimuli/5_pieceB_calm_sad_anxious",139,69.5,-0.041853781,-0.065488897,-0.041363911,-0.063496801,0.000478978,NA
"1580","stimuli/5_pieceB_calm_sad_anxious",140,70,-0.042769403,-0.062488339,-0.04129482,-0.063022832,0.000482854,NA
"1581","stimuli/5_pieceB_calm_sad_anxious",141,70.5,-0.043692792,-0.061288738,-0.041452982,-0.062566616,0.000577118,NA
"1582","stimuli/5_pieceB_calm_sad_anxious",142,71,-0.044046518,-0.062455351,-0.041648584,-0.062023657,0.000469002,NA
"1583","stimuli/5_pieceB_calm_sad_anxious",143,71.5,-0.043742875,-0.06064952,-0.041862428,-0.061606244,0.000476535,NA
"1584","stimuli/5_pieceB_calm_sad_anxious",144,72,-0.043868544,-0.058770522,-0.042146987,-0.061223998,0.000526266,NA
"1585","stimuli/5_pieceB_calm_sad_anxious",145,72.5,-0.044297418,-0.058364003,-0.04247796,-0.060814837,0.000675085,NA
"1586","stimuli/5_pieceB_calm_sad_anxious",146,73,-0.044597678,-0.057748821,-0.042814791,-0.060229786,0.000634839,NA
"1587","stimuli/5_pieceB_calm_sad_anxious",147,73.5,-0.043971381,-0.057002775,-0.043062309,-0.059645187,0.000583165,NA
"1588","stimuli/5_pieceB_calm_sad_anxious",148,74,-0.042685464,-0.057844014,-0.043191172,-0.059076438,0.0005763,NA
"1589","stimuli/5_pieceB_calm_sad_anxious",149,74.5,-0.042154145,-0.058805999,-0.043195239,-0.058500152,0.00061665,NA
"1590","stimuli/5_pieceB_calm_sad_anxious",150,75,-0.019999598,-0.059095644,-0.043047393,-0.057901488,0.00612377,NA
"1591","stimuli/5_pieceB_calm_sad_anxious",151,75.5,-0.042252749,-0.059160353,-0.038938945,-0.062442547,0.000746565,NA
"1592","stimuli/5_pieceB_calm_sad_anxious",152,76,-0.042484801,-0.058743177,-0.038416142,-0.061909597,0.000894831,NA
"1593","stimuli/5_pieceB_calm_sad_anxious",153,76.5,-0.042295499,-0.058503752,-0.037706464,-0.061364547,0.001043862,NA
"1594","stimuli/5_pieceB_calm_sad_anxious",154,77,-0.041106181,-0.056805743,-0.036839787,-0.060782724,0.001177062,NA
"1595","stimuli/5_pieceB_calm_sad_anxious",155,77.5,-0.040360533,-0.054927657,-0.035845118,-0.060153353,0.001284973,NA
"1596","stimuli/5_pieceB_calm_sad_anxious",156,78,-0.040407432,-0.054640311,-0.034737241,-0.059502382,0.001332063,NA
