"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"227","TEAM_YA_030",0,"Sad Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"228","TEAM_YA_030",0,"Proud Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"229","TEAM_YA_030",10,"Scared Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"230","TEAM_YA_030",0,"Joyful Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"231","TEAM_YA_030",10,"Anxious Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"232","TEAM_YA_030",20,"Relaxed Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"233","TEAM_YA_030",0,"Angry Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"234","TEAM_YA_030",20,"Excited Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"235","TEAM_YA_030",15,"Happy Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"236","TEAM_YA_030",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"237","TEAM_YA_030",30,"Sad Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"238","TEAM_YA_030",0,"Proud Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"239","TEAM_YA_030",5,"Scared Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"240","TEAM_YA_030",10,"Joyful Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"241","TEAM_YA_023",0,"Anxious Slider","5_pieceB_calm_sad_anxious_7.mp3"
"242","TEAM_YA_023",100,"Relaxed Slider","5_pieceB_calm_sad_anxious_7.mp3"
"243","TEAM_YA_023",0,"Angry Slider","5_pieceB_calm_sad_anxious_7.mp3"
"244","TEAM_YA_023",0,"Excited Slider","5_pieceB_calm_sad_anxious_7.mp3"
"245","TEAM_YA_023",90,"Happy Slider","5_pieceB_calm_sad_anxious_7.mp3"
"246","TEAM_YA_023",0,"Disgusted Slider","5_pieceB_calm_sad_anxious_7.mp3"
"247","TEAM_YA_023",90,"Sad Slider","5_pieceB_calm_sad_anxious_7.mp3"
"248","TEAM_YA_023",60,"Proud Slider","5_pieceB_calm_sad_anxious_7.mp3"
"249","TEAM_YA_023",0,"Scared Slider","5_pieceB_calm_sad_anxious_7.mp3"
"250","TEAM_YA_023",20,"Joyful Slider","5_pieceB_calm_sad_anxious_7.mp3"
"251","TEAM_YA_023",0,"Anxious Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"252","TEAM_YA_023",70,"Relaxed Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"253","TEAM_YA_023",0,"Angry Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"254","TEAM_YA_023",80,"Excited Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"255","TEAM_YA_023",75,"Happy Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"256","TEAM_YA_023",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"257","TEAM_YA_023",75,"Sad Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"258","TEAM_YA_023",80,"Proud Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"259","TEAM_YA_023",0,"Scared Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"260","TEAM_YA_023",20,"Joyful Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"261","TEAM_YA_023",20,"Anxious Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"262","TEAM_YA_023",10,"Relaxed Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"263","TEAM_YA_023",0,"Angry Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"264","TEAM_YA_023",100,"Excited Slider","6_pieceB_anxious_calm_joyous_5.mp3"
